Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:45.872000,ANT,12,0 days 00:01:38.965000,1.0,1.0,,,,0 days 00:00:42.791000,0 days 00:00:18.168000,,0 days 00:57:27.798000,0 days 00:57:46.079000,277.0,300.0,263.0,287.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:56:06.651000,2025-04-06 05:03:47.081,1,6.0,False,,False,False
0 days 00:59:20.403000,ANT,12,0 days 00:01:34.531000,2.0,1.0,,,0 days 00:00:34.135000,0 days 00:00:42.288000,0 days 00:00:18.108000,0 days 00:58:20.013000,0 days 00:59:02.301000,0 days 00:59:20.409000,279.0,301.0,258.0,295.0,False,MEDIUM,2.0,True,Mercedes,0 days 00:57:45.872000,2025-04-06 05:05:26.302,1,6.0,True,TRACK LIMITS AT TURN 17 LAP 2 ,False,True
0 days 01:00:54.526000,ANT,12,0 days 00:01:34.123000,3.0,1.0,,,0 days 00:00:33.628000,0 days 00:00:42.362000,0 days 00:00:18.133000,0 days 00:59:54.037000,0 days 01:00:36.399000,0 days 01:00:54.532000,280.0,301.0,263.0,298.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:59:20.403000,2025-04-06 05:07:00.833,1,6.0,False,,False,True
0 days 01:02:28.786000,ANT,12,0 days 00:01:34.260000,4.0,1.0,,,0 days 00:00:33.531000,0 days 00:00:42.556000,0 days 00:00:18.173000,0 days 01:01:28.063000,0 days 01:02:10.619000,0 days 01:02:28.792000,,301.0,264.0,300.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:00:54.526000,2025-04-06 05:08:34.956,1,6.0,False,,False,True
0 days 01:04:02.576000,ANT,12,0 days 00:01:33.790000,5.0,1.0,,,0 days 00:00:33.200000,0 days 00:00:42.410000,0 days 00:00:18.180000,0 days 01:03:01.992000,0 days 01:03:44.402000,0 days 01:04:02.582000,283.0,302.0,264.0,300.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:02:28.786000,2025-04-06 05:10:09.216,1,6.0,False,,False,True
0 days 01:05:36.633000,ANT,12,0 days 00:01:34.057000,6.0,1.0,,,0 days 00:00:33.288000,0 days 00:00:42.570000,0 days 00:00:18.199000,0 days 01:04:35.870000,0 days 01:05:18.440000,0 days 01:05:36.639000,282.0,301.0,264.0,300.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:04:02.576000,2025-04-06 05:11:43.006,1,6.0,False,,False,True
0 days 01:07:10.474000,ANT,12,0 days 00:01:33.841000,7.0,1.0,,,0 days 00:00:33.053000,0 days 00:00:42.612000,0 days 00:00:18.176000,0 days 01:06:09.692000,0 days 01:06:52.304000,0 days 01:07:10.480000,,302.0,263.0,299.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:05:36.633000,2025-04-06 05:13:17.063,1,6.0,False,,False,True
0 days 01:08:44.492000,ANT,12,0 days 00:01:34.018000,8.0,1.0,,,0 days 00:00:33.159000,0 days 00:00:42.691000,0 days 00:00:18.168000,0 days 01:07:43.639000,0 days 01:08:26.330000,0 days 01:08:44.498000,,300.0,263.0,298.0,False,MEDIUM,8.0,True,Mercedes,0 days 01:07:10.474000,2025-04-06 05:14:50.904,1,6.0,False,,False,True
0 days 01:10:18.374000,ANT,12,0 days 00:01:33.882000,9.0,1.0,,,0 days 00:00:33.172000,0 days 00:00:42.541000,0 days 00:00:18.169000,0 days 01:09:17.670000,0 days 01:10:00.211000,0 days 01:10:18.380000,280.0,301.0,263.0,298.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:08:44.492000,2025-04-06 05:16:24.922,1,6.0,False,,False,True
0 days 01:11:52.095000,ANT,12,0 days 00:01:33.721000,10.0,1.0,,,0 days 00:00:33.036000,0 days 00:00:42.531000,0 days 00:00:18.154000,0 days 01:10:51.416000,0 days 01:11:33.947000,0 days 01:11:52.101000,279.0,301.0,263.0,300.0,True,MEDIUM,10.0,True,Mercedes,0 days 01:10:18.374000,2025-04-06 05:17:58.804,1,6.0,False,,False,True
