Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:05.058000,PIA,81,,1.0,1.0,0 days 00:15:03.151000,,,0 days 00:00:35.620000,0 days 00:00:53.330000,,0 days 00:16:11.813000,0 days 00:17:05.125000,247.0,256.0,273.0,307.0,False,SOFT,6.0,False,McLaren,0 days 00:15:03.151000,2025-03-22 07:02:08.658,12,,False,,False,False
0 days 00:18:36.649000,PIA,81,0 days 00:01:31.591000,2.0,1.0,,,0 days 00:00:24.176000,0 days 00:00:27.442000,0 days 00:00:39.973000,0 days 00:17:29.234000,0 days 00:17:56.676000,0 days 00:18:36.649000,282.0,276.0,268.0,330.0,True,SOFT,7.0,False,McLaren,0 days 00:17:05.058000,2025-03-22 07:04:10.565,21,,False,,False,True
0 days 00:20:28.126000,PIA,81,0 days 00:01:51.477000,3.0,1.0,,0 days 00:20:26.329000,0 days 00:00:29.205000,0 days 00:00:31.339000,0 days 00:00:50.933000,0 days 00:19:05.854000,0 days 00:19:37.193000,0 days 00:20:28.126000,235.0,246.0,,286.0,False,SOFT,8.0,False,McLaren,0 days 00:18:36.649000,2025-03-22 07:05:42.156,1,,False,,False,False
0 days 00:24:11.638000,PIA,81,,4.0,2.0,0 days 00:22:18.298000,,,0 days 00:00:31.668000,0 days 00:00:51.759000,,0 days 00:23:19.908000,0 days 00:24:11.795000,265.0,257.0,272.0,313.0,False,SOFT,1.0,True,McLaren,0 days 00:20:28.126000,2025-03-22 07:07:33.633,1,,False,,False,False
0 days 00:25:43.565000,PIA,81,0 days 00:01:31.927000,5.0,2.0,,,0 days 00:00:24.252000,0 days 00:00:27.538000,0 days 00:00:40.137000,0 days 00:24:35.890000,0 days 00:25:03.428000,0 days 00:25:43.565000,283.0,277.0,270.0,328.0,False,SOFT,2.0,True,McLaren,0 days 00:24:11.638000,2025-03-22 07:11:17.145,1,,False,,False,True
0 days 00:27:54.052000,PIA,81,0 days 00:02:10.487000,6.0,2.0,,,0 days 00:00:36.243000,0 days 00:00:39.914000,0 days 00:00:54.330000,0 days 00:26:19.808000,0 days 00:26:59.722000,0 days 00:27:54.052000,184.0,214.0,99.0,292.0,False,SOFT,3.0,True,McLaren,0 days 00:25:43.565000,2025-03-22 07:12:49.072,1,,False,,False,True
0 days 00:30:06.578000,PIA,81,0 days 00:02:12.526000,7.0,2.0,,,0 days 00:00:37.431000,0 days 00:00:39.997000,0 days 00:00:55.098000,0 days 00:28:31.483000,0 days 00:29:11.480000,0 days 00:30:06.578000,182.0,236.0,274.0,299.0,False,SOFT,4.0,True,McLaren,0 days 00:27:54.052000,2025-03-22 07:14:59.559,1,,False,,False,True
0 days 00:31:45.612000,PIA,81,0 days 00:01:39.034000,8.0,2.0,,0 days 00:31:43.888000,0 days 00:00:24.079000,0 days 00:00:27.440000,0 days 00:00:47.515000,0 days 00:30:30.657000,0 days 00:30:58.097000,0 days 00:31:45.612000,283.0,278.0,,327.0,False,SOFT,5.0,True,McLaren,0 days 00:30:06.578000,2025-03-22 07:17:12.085,1,,False,,False,False
0 days 00:42:15.963000,PIA,81,,9.0,3.0,0 days 00:40:25.245000,,,0 days 00:00:31.971000,0 days 00:00:50.157000,,0 days 00:41:25.883000,0 days 00:42:16.091000,257.0,251.0,264.0,308.0,False,SOFT,1.0,True,McLaren,0 days 00:31:45.612000,2025-03-22 07:18:51.119,12,,False,,False,False
0 days 00:43:47.163000,PIA,81,0 days 00:01:31.200000,10.0,3.0,,,0 days 00:00:24.219000,0 days 00:00:27.341000,0 days 00:00:39.640000,0 days 00:42:40.182000,0 days 00:43:07.523000,0 days 00:43:47.163000,285.0,279.0,271.0,328.0,True,SOFT,2.0,True,McLaren,0 days 00:42:15.963000,2025-03-22 07:29:21.470,1,,False,,False,True
